record_id	record_name	field	url	outcome	http_status	final_url	content_type	page_title	error	checked_at
asa-a-lab-berkeley	A-Lab (Berkeley)	paper_links[0]	https://www.nature.com/articles/s41586-023-06734-w	reachable	200	https://www.nature.com/articles/s41586-023-06734-w	text/html	An autonomous laboratory for the accelerated synthesis of inorganic materials | Nature		2026-08-13T09:28:04+00:00
asa-a-lab-berkeley	A-Lab (Berkeley)	sources[0]	https://www.nature.com/articles/s41586-023-06734-w	reachable	200	https://www.nature.com/articles/s41586-023-06734-w	text/html	An autonomous laboratory for the accelerated synthesis of inorganic materials | Nature		2026-08-13T09:28:04+00:00
asa-a-lab-gpss	A-Lab GPSS	paper_links[0]	https://arxiv.org/abs/2604.11957	reachable	206	https://arxiv.org/abs/2604.11957	text/html	[2604.11957] Agentic LLM Reasoning in a Self-Driving Laboratory for Air-Sensitive Lithium Halide Spinel Conductors		2026-08-13T09:26:02+00:00
asa-a-lab-gpss	A-Lab GPSS	repo_links[0]	https://github.com/CederGroupHub/alab_gpss_public	reachable	206	https://github.com/CederGroupHub/alab_gpss_public	text/html	GitHub - CederGroupHub/alab_gpss_public · GitHub		2026-08-13T09:27:59+00:00
asa-a-lab-gpss	A-Lab GPSS	sources[0]	https://arxiv.org/abs/2604.11957	reachable	206	https://arxiv.org/abs/2604.11957	text/html	[2604.11957] Agentic LLM Reasoning in a Self-Driving Laboratory for Air-Sensitive Lithium Halide Spinel Conductors		2026-08-13T09:26:02+00:00
asa-a-lab-gpss	A-Lab GPSS	sources[1]	https://github.com/CederGroupHub/alab_gpss_public	reachable	206	https://github.com/CederGroupHub/alab_gpss_public	text/html	GitHub - CederGroupHub/alab_gpss_public · GitHub		2026-08-13T09:27:59+00:00
asa-aaar-1-0	AAAR-1.0	paper_links[0]	https://arxiv.org/abs/2410.22394	reachable	206	https://arxiv.org/abs/2410.22394	text/html	[2410.22394] AAAR-1.0: Assessing AI's Potential to Assist Research		2026-08-13T09:25:54+00:00
asa-aaar-1-0	AAAR-1.0	repo_links[0]	https://github.com/RenzeLou/AAAR-1.0	reachable	206	https://github.com/RenzeLou/AAAR-1.0	text/html	GitHub - RenzeLou/AAAR-1.0: The source code for running LLMs on the AAAR-1.0 benchmark. · GitHub		2026-08-13T09:26:46+00:00
asa-aaar-1-0	AAAR-1.0	sources[0]	https://arxiv.org/abs/2410.22394	reachable	206	https://arxiv.org/abs/2410.22394	text/html	[2410.22394] AAAR-1.0: Assessing AI's Potential to Assist Research		2026-08-13T09:25:54+00:00
asa-aaar-1-0	AAAR-1.0	sources[1]	https://github.com/RenzeLou/AAAR-1.0	reachable	206	https://github.com/RenzeLou/AAAR-1.0	text/html	GitHub - RenzeLou/AAAR-1.0: The source code for running LLMs on the AAAR-1.0 benchmark. · GitHub		2026-08-13T09:26:46+00:00
asa-abc-bench	ABC-Bench	paper_links[0]	https://arxiv.org/abs/2606.11150	reachable	206	https://arxiv.org/abs/2606.11150	text/html	[2606.11150] ABC-Bench: An Agentic Bio-Capabilities Benchmark for Biosecurity		2026-08-13T09:26:03+00:00
asa-abc-bench	ABC-Bench	sources[0]	https://arxiv.org/abs/2606.11150	reachable	206	https://arxiv.org/abs/2606.11150	text/html	[2606.11150] ABC-Bench: An Agentic Bio-Capabilities Benchmark for Biosecurity		2026-08-13T09:26:03+00:00
asa-accelerator-assistant	Accelerator Assistant	paper_links[0]	https://arxiv.org/abs/2509.17255	reachable	206	https://arxiv.org/abs/2509.17255	text/html	[2509.17255] Agentic Artificial Intelligence for Multistage Physics Experiments at a Large-Scale User Facility Particle Accelerator		2026-08-13T09:25:58+00:00
asa-accelerator-assistant	Accelerator Assistant	sources[0]	https://arxiv.org/abs/2509.17255	reachable	206	https://arxiv.org/abs/2509.17255	text/html	[2509.17255] Agentic Artificial Intelligence for Multistage Physics Experiments at a Large-Scale User Facility Particle Accelerator		2026-08-13T09:25:58+00:00
asa-ada-thin-film-self-driving-lab	Ada (thin-film self-driving lab)	paper_links[0]	https://www.science.org/doi/10.1126/sciadv.aaz8867	restricted	403	https://www.science.org/doi/10.1126/sciadv.aaz8867	text/html	Just a moment...	HTTPError	2026-08-13T09:28:01+00:00
asa-ada-thin-film-self-driving-lab	Ada (thin-film self-driving lab)	sources[0]	https://www.science.org/doi/10.1126/sciadv.aaz8867	restricted	403	https://www.science.org/doi/10.1126/sciadv.aaz8867	text/html	Just a moment...	HTTPError	2026-08-13T09:28:01+00:00
asa-adsmind	AdsMind	paper_links[0]	https://arxiv.org/abs/2606.19152	reachable	206	https://arxiv.org/abs/2606.19152	text/html	[2606.19152] AdsMind: A Physics-Grounded Multi-Agent System for Self-Correcting Discovery of Adsorption Configurations on Heterogeneous Catalyst Surfaces		2026-08-13T09:26:04+00:00
asa-adsmind	AdsMind	sources[0]	https://arxiv.org/abs/2606.19152	reachable	206	https://arxiv.org/abs/2606.19152	text/html	[2606.19152] AdsMind: A Physics-Grounded Multi-Agent System for Self-Correcting Discovery of Adsorption Configurations on Heterogeneous Catalyst Surfaces		2026-08-13T09:26:04+00:00
asa-adsorb-agent	Adsorb-Agent	paper_links[0]	https://arxiv.org/abs/2410.16658	reachable	206	https://arxiv.org/abs/2410.16658	text/html	[2410.16658] Adsorb-Agent: Autonomous Identification of Stable Adsorption Configurations via Large Language Model Agent		2026-08-13T09:25:54+00:00
asa-adsorb-agent	Adsorb-Agent	repo_links[0]	https://github.com/hoon-ock/CatalystAIgent	reachable	206	https://github.com/hoon-ock/CatalystAIgent	text/html	GitHub - hoon-ock/CatalystAIgent: LLM-agent for catalyst research · GitHub		2026-08-13T09:27:17+00:00
asa-adsorb-agent	Adsorb-Agent	sources[0]	https://arxiv.org/abs/2410.16658	reachable	206	https://arxiv.org/abs/2410.16658	text/html	[2410.16658] Adsorb-Agent: Autonomous Identification of Stable Adsorption Configurations via Large Language Model Agent		2026-08-13T09:25:54+00:00
asa-adsorb-agent	Adsorb-Agent	sources[1]	https://github.com/hoon-ock/CatalystAIgent	reachable	206	https://github.com/hoon-ock/CatalystAIgent	text/html	GitHub - hoon-ock/CatalystAIgent: LLM-agent for catalyst research · GitHub		2026-08-13T09:27:17+00:00
asa-aecroscopywave	AEcroscopyWave	paper_links[0]	https://arxiv.org/abs/2607.22975	reachable	206	https://arxiv.org/abs/2607.22975	text/html	[2607.22975] AEcroscopyWave: Towards Self-Driving Characterization Platforms for Agentic AI		2026-08-13T09:26:05+00:00
asa-aecroscopywave	AEcroscopyWave	repo_links[0]	https://github.com/yongtaoliu/aecroscopy.pyae	reachable	206	https://github.com/yongtaoliu/aecroscopy.pyae	text/html	GitHub - yongtaoliu/aecroscopy.pyae: aecroscopy · GitHub		2026-08-13T09:27:50+00:00
asa-aecroscopywave	AEcroscopyWave	repo_links[1]	https://yongtaoliu.github.io/aecroscopy.pyae/welcome_intro.html	reachable	206	https://yongtaoliu.github.io/aecroscopy.pyae/welcome_intro.html	text/html	Welcome to AEcroscopy — AEcroscopy		2026-08-13T09:28:01+00:00
asa-aecroscopywave	AEcroscopyWave	sources[0]	https://arxiv.org/abs/2607.22975	reachable	206	https://arxiv.org/abs/2607.22975	text/html	[2607.22975] AEcroscopyWave: Towards Self-Driving Characterization Platforms for Agentic AI		2026-08-13T09:26:05+00:00
asa-aecroscopywave	AEcroscopyWave	sources[1]	https://github.com/yongtaoliu/aecroscopy.pyae	reachable	206	https://github.com/yongtaoliu/aecroscopy.pyae	text/html	GitHub - yongtaoliu/aecroscopy.pyae: aecroscopy · GitHub		2026-08-13T09:27:50+00:00
asa-aecroscopywave	AEcroscopyWave	sources[2]	https://yongtaoliu.github.io/aecroscopy.pyae/welcome_intro.html	reachable	206	https://yongtaoliu.github.io/aecroscopy.pyae/welcome_intro.html	text/html	Welcome to AEcroscopy — AEcroscopy		2026-08-13T09:28:01+00:00
asa-agapi-agents	AGAPI-Agents	paper_links[0]	https://arxiv.org/abs/2512.11935	reachable	206	https://arxiv.org/abs/2512.11935	text/html	[2512.11935] AGAPI-Agents: An Open-Access Agentic AI Platform for Accelerated Materials Design on AtomGPT.org		2026-08-13T09:26:00+00:00
asa-agapi-agents	AGAPI-Agents	repo_links[0]	https://github.com/atomgptlab/agapi	reachable	206	https://github.com/atomgptlab/agapi	text/html	GitHub - atomgptlab/agapi: AtomGPT.org API Usage Examples Paper: https://doi.org/10.1021/acs.jpclett.6c00837 Docs: https://atomgptlab.github.io/agapi/ · GitHub		2026-08-13T09:27:05+00:00
asa-agapi-agents	AGAPI-Agents	repo_links[1]	https://atomgpt.org	reachable	206	https://atomgpt.org	text/html	AtomGPT.org		2026-08-13T09:26:06+00:00
asa-agapi-agents	AGAPI-Agents	sources[0]	https://arxiv.org/abs/2512.11935	reachable	206	https://arxiv.org/abs/2512.11935	text/html	[2512.11935] AGAPI-Agents: An Open-Access Agentic AI Platform for Accelerated Materials Design on AtomGPT.org		2026-08-13T09:26:00+00:00
asa-agapi-agents	AGAPI-Agents	sources[1]	https://atomgpt.org	reachable	206	https://atomgpt.org	text/html	AtomGPT.org		2026-08-13T09:26:06+00:00
asa-agapi-agents	AGAPI-Agents	sources[2]	https://github.com/atomgptlab/agapi	reachable	206	https://github.com/atomgptlab/agapi	text/html	GitHub - atomgptlab/agapi: AtomGPT.org API Usage Examples Paper: https://doi.org/10.1021/acs.jpclett.6c00837 Docs: https://atomgptlab.github.io/agapi/ · GitHub		2026-08-13T09:27:05+00:00
asa-agent-laboratory	Agent Laboratory	paper_links[0]	https://arxiv.org/abs/2501.04227	reachable	206	https://arxiv.org/abs/2501.04227	text/html	[2501.04227] Agent Laboratory: Using LLM Agents as Research Assistants		2026-08-13T09:25:55+00:00
asa-agent-laboratory	Agent Laboratory	repo_links[0]	https://github.com/SamuelSchmidgall/AgentLaboratory	reachable	206	https://github.com/SamuelSchmidgall/AgentLaboratory	text/html	GitHub - SamuelSchmidgall/AgentLaboratory: Agent Laboratory is an end-to-end autonomous research workflow meant to assist you as the human researcher toward implementing your research ideas · GitHub		2026-08-13T09:26:50+00:00
asa-agent-laboratory	Agent Laboratory	sources[0]	https://arxiv.org/abs/2501.04227	reachable	206	https://arxiv.org/abs/2501.04227	text/html	[2501.04227] Agent Laboratory: Using LLM Agents as Research Assistants		2026-08-13T09:25:55+00:00
asa-agent-laboratory	Agent Laboratory	sources[1]	https://github.com/SamuelSchmidgall/AgentLaboratory	reachable	206	https://github.com/SamuelSchmidgall/AgentLaboratory	text/html	GitHub - SamuelSchmidgall/AgentLaboratory: Agent Laboratory is an end-to-end autonomous research workflow meant to assist you as the human researcher toward implementing your research ideas · GitHub		2026-08-13T09:26:50+00:00
asa-agent-md-gcmc-md	Agent-MD (GCMC-MD campaigns)	paper_links[0]	https://arxiv.org/abs/2608.07637	reachable	206	https://arxiv.org/abs/2608.07637	text/html	[2608.07637] Agent-MD: Selective LLM Intervention with Event-Driven Escalation for Stateful GCMC--MD Campaigns		2026-08-13T09:26:05+00:00
asa-agent-md-gcmc-md	Agent-MD (GCMC-MD campaigns)	sources[0]	https://arxiv.org/abs/2608.07637	reachable	206	https://arxiv.org/abs/2608.07637	text/html	[2608.07637] Agent-MD: Selective LLM Intervention with Event-Driven Escalation for Stateful GCMC--MD Campaigns		2026-08-13T09:26:05+00:00
asa-agentbuild-rietveld	AgentBuild for Rietveld refinement	paper_links[0]	https://arxiv.org/abs/2606.12834	reachable	206	https://arxiv.org/abs/2606.12834	text/html	[2606.12834] Fantastic Scientific Agents and How to Build Them: AgentBuild for Rietveld Refinement		2026-08-13T09:26:03+00:00
asa-agentbuild-rietveld	AgentBuild for Rietveld refinement	sources[0]	https://arxiv.org/abs/2606.12834	reachable	206	https://arxiv.org/abs/2606.12834	text/html	[2606.12834] Fantastic Scientific Agents and How to Build Them: AgentBuild for Rietveld Refinement		2026-08-13T09:26:03+00:00
asa-agentclinic	AgentClinic	paper_links[0]	https://arxiv.org/abs/2405.07960	reachable	206	https://arxiv.org/abs/2405.07960	text/html	[2405.07960] AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments		2026-08-13T09:26:07+00:00
asa-agentclinic	AgentClinic	repo_links[0]	https://github.com/SamuelSchmidgall/AgentClinic	reachable	206	https://github.com/SamuelSchmidgall/AgentClinic	text/html	GitHub - SamuelSchmidgall/AgentClinic: Agent benchmark for medical diagnosis · GitHub		2026-08-13T09:26:50+00:00
asa-agentclinic	AgentClinic	sources[0]	https://arxiv.org/abs/2405.07960	reachable	206	https://arxiv.org/abs/2405.07960	text/html	[2405.07960] AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments		2026-08-13T09:26:07+00:00
